Run No,Instance Id,Exp Time,Case No,VM Type,P-50,P-75,P-90,Avg RPS,Avg User Utilization(%), Avg System Utilization(%)
run_24,i-008cd94ce1d4a5e3c,TueAug1706:30:31PDT2021,case_2,secondary,3557.375,6746.111,9822.207,9.78k,24.0165,50.9158
run_3,i-00a78fab89a76b996,MonAug1609:45:51PDT2021,case_2,secondary,1.191,1.674,2.263,10.87k,23.4735,48.3557
run_19,i-00b266cea2b39fd4f,TueAug1701:34:10PDT2021,case_2,secondary,1.408,2.155,5.199,10.87k,23.1568,46.726
run_24,i-00cce68a162b93e0b,TueAug1706:30:31PDT2021,case_2,secondary,2.461,8.967,37.631,10.43k,23.4612,47.575
run_17,i-00ef3af541492cdc7,MonAug1623:35:38PDT2021,case_2,secondary,1.380,2.005,3.447,10.87k,24.3395,50.3532
run_17,i-010bb9d0ad0442dfe,MonAug1623:35:38PDT2021,case_2,secondary,1.387,2.197,7.063,10.87k,23.7011,48.7212
run_6,i-0131554c964f2f078,MonAug1612:43:40PDT2021,case_2,secondary,1.364,2.139,5.523,10.87k,24.407,50.2313
run_16,i-013f5d409d14d3e21,MonAug1622:36:22PDT2021,case_2,secondary,9691.135,14688.255,18628.607,9.08k,22.2267,51.0812
run_11,i-0162ab47986ba9d4b,MonAug1617:40:01PDT2021,case_2,secondary,1.492,2.461,7.687,10.87k,24.3787,49.4553
run_23,i-016cf60bd3aab0ec6,TueAug1705:31:14PDT2021,case_2,secondary,2.901,12.903,42.815,10.48k,24.1421,51.2586
run_20,i-01712c35285ecefe8,TueAug1702:33:26PDT2021,case_2,secondary,1.234,1.822,4.571,10.84k,23.1998,48.9796
run_20,i-017b95cc3ff4ce1ab,TueAug1702:33:26PDT2021,case_2,secondary,1.832,4.927,23.807,10.67k,24.3036,48.4609
run_16,i-017cb5e65db4d10db,MonAug1622:36:22PDT2021,case_2,secondary,1.436,2.307,9.511,10.85k,23.6099,47.788
run_10,i-017e4d1ac78e701e4,MonAug1616:40:45PDT2021,case_2,secondary,1.517,2.377,5.639,10.87k,22.8697,46.3971
run_6,i-018509a1fecd8c74b,MonAug1612:43:40PDT2021,case_2,secondary,1.632,4.839,24.255,10.80k,22.4271,48.9634
run_11,i-0187c027929778216,MonAug1617:40:01PDT2021,case_2,secondary,1.481,2.419,9.231,10.78k,23.5492,47.0788
run_23,i-018d1a821ff508c48,TueAug1705:31:14PDT2021,case_2,secondary,910.847,2609.151,4747.263,10.32k,24.1082,51.2905
run_1,i-01b540d105b5503f6,MonAug1607:47:19PDT2021,case_2,secondary,1.468,2.221,4.443,10.87k,23.4632,47.6293
run_21,i-01dbb16f42d3b055f,TueAug1703:32:42PDT2021,case_2,secondary,1.723,4.799,18.303,10.58k,23.0621,46.2397
run_19,i-02366ad129cd61928,TueAug1701:34:10PDT2021,case_2,secondary,1.983,6.051,24.575,10.43k,23.6113,49.1715
run_20,i-02438ad4542e738f1,TueAug1702:33:26PDT2021,case_2,secondary,1.332,2.036,6.587,10.87k,21.6438,47.9149
run_6,i-025f246d9658a2c66,MonAug1612:43:40PDT2021,case_2,secondary,6787.071,10715.135,14262.271,9.49k,23.3036,50.4336
run_4,i-02600aef50eff5828,MonAug1610:45:08PDT2021,case_2,secondary,1017.855,2902.015,5246.975,10.20k,23.1945,50.6025
run_7,i-0273a234ec14215fd,MonAug1613:42:56PDT2021,case_2,secondary,1.760,4.283,16.039,10.74k,23.5465,45.862
run_13,i-0280f4ef444a03f45,MonAug1619:38:33PDT2021,case_2,secondary,278.527,1319.935,2729.983,10.25k,23.8139,50.7162
run_1,i-0298e02558abb0f5f,MonAug1607:47:19PDT2021,case_2,secondary,1.929,4.175,16.159,10.87k,24.0266,48.8602
run_2,i-029a088c3a5dc8e7a,MonAug1608:46:35PDT2021,case_2,secondary,3.921,68.799,462.079,10.38k,23.5516,49.2549
run_12,i-02a7e513928374bc2,MonAug1618:39:17PDT2021,case_2,secondary,1736.703,3504.127,5840.895,10.67k,23.4384,49.7235
run_11,i-02af6b53252be7bbc,MonAug1617:40:01PDT2021,case_2,secondary,1.816,4.991,17.935,10.70k,23.4614,47.967
run_3,i-02bdffbbc3b1e7b26,MonAug1609:45:51PDT2021,case_2,secondary,1.921,5.799,22.639,10.48k,23.5307,47.9111
run_5,i-02ddb76d3fee45f80,MonAug1611:44:24PDT2021,case_2,secondary,1.516,2.731,15.295,10.72k,23.3043,46.8674
run_18,i-030f05aa450fa6870,TueAug1700:34:54PDT2021,case_2,secondary,2.555,9.871,39.775,10.46k,24.5061,50.2885
run_14,i-032147157cff7994f,MonAug1620:37:50PDT2021,case_2,secondary,3.417,23.919,184.831,10.48k,24.1326,49.9588
run_21,i-0334672dc2596b9f9,TueAug1703:32:42PDT2021,case_2,secondary,1.457,2.379,7.155,10.86k,24.7402,49.4402
run_19,i-033cb456698af8dd7,TueAug1701:34:10PDT2021,case_2,secondary,1.216,1.721,2.467,10.87k,23.628,46.7741
run_22,i-033d3ea04cd3d15c6,TueAug1704:31:58PDT2021,case_2,secondary,1.358,2.017,4.041,10.87k,23.8228,47.194
run_23,i-034a9731e40579f30,TueAug1705:31:14PDT2021,case_2,secondary,1.334,1.901,2.831,10.87k,23.9168,48.4387
run_7,i-034f6aadd3b7b6a5c,MonAug1613:42:56PDT2021,case_2,secondary,2.289,9.839,40.767,10.42k,23.7179,47.1793
run_7,i-035c6a8f370a4eb28,MonAug1613:42:56PDT2021,case_2,secondary,1.436,2.415,14.583,10.86k,24.3176,50.0608
run_11,i-0365edccd47548652,MonAug1617:40:01PDT2021,case_2,secondary,2.965,15.471,89.023,10.47k,23.1629,47.9986
run_6,i-0378e2342e4fc0fe8,MonAug1612:43:40PDT2021,case_2,secondary,1.466,2.183,5.327,10.85k,21.8685,47.0839
run_12,i-037ce03405405c084,MonAug1618:39:17PDT2021,case_2,secondary,1.359,1.975,3.209,10.87k,23.9095,48.788
run_8,i-03804c9f08d3da9ce,MonAug1614:42:12PDT2021,case_2,secondary,1.247,1.742,2.351,10.87k,23.2168,47.4219
run_23,i-038c50e3f03f27979,TueAug1705:31:14PDT2021,case_2,secondary,1.811,4.371,15.863,10.87k,23.8065,47.6014
run_3,i-03acdae2ed651e31a,MonAug1609:45:51PDT2021,case_2,secondary,2.255,8.051,26.111,10.45k,23.5028,47.437
run_24,i-03b1552e832bd0e4d,TueAug1706:30:31PDT2021,case_2,secondary,1.323,1.937,3.229,10.87k,21.9741,47.7067
run_24,i-03caf8b68d49f22f4,TueAug1706:30:31PDT2021,case_2,secondary,4.599,181.375,1117.183,10.76k,22.2139,49.6763
run_17,i-03cdff1e049dce477,MonAug1623:35:38PDT2021,case_2,secondary,2.095,5.983,21.023,10.52k,21.0785,48.2316
run_17,i-03ddc4c0800a8b674,MonAug1623:35:38PDT2021,case_2,secondary,2.535,9.919,39.839,10.47k,23.9767,49.5507
run_10,i-03e74aeeae8651ba2,MonAug1616:40:45PDT2021,case_2,secondary,2.107,7.355,27.055,10.45k,24.5089,49.4012
run_12,i-03ea1640f784058d9,MonAug1618:39:17PDT2021,case_2,secondary,5173.247,7634.943,10354.687,9.65k,23.1719,50.0915
run_19,i-03eb7d232bba4cfca,TueAug1701:34:10PDT2021,case_2,secondary,3.807,24.447,117.887,10.61k,24.5716,51.2067
run_21,i-04016eb16dd813d39,TueAug1703:32:42PDT2021,case_2,secondary,1.659,2.979,10.535,10.56k,23.1362,46.9831
run_9,i-042002c7fc170b138,MonAug1615:41:29PDT2021,case_2,secondary,1.749,4.403,17.871,10.75k,23.8511,46.4414
run_6,i-042427f938fc9ab6e,MonAug1612:43:40PDT2021,case_2,secondary,3479.551,6553.599,9699.327,9.80k,22.4208,50.8729
run_14,i-043773133df4c7a06,MonAug1620:37:50PDT2021,case_2,secondary,1.901,5.795,25.567,10.44k,22.8777,47.1521
run_16,i-043da50d526426880,MonAug1622:36:22PDT2021,case_2,secondary,1.255,1.817,3.591,10.85k,23.1027,47.1353
run_23,i-045ce417dbd26867b,TueAug1705:31:14PDT2021,case_2,secondary,1.824,4.603,15.767,10.53k,24.3855,48.6775
run_1,i-0467d1eea68d32458,MonAug1607:47:19PDT2021,case_2,secondary,1.219,1.716,2.349,10.87k,23.4273,48.1343
run_19,i-046cf60a7ee8b0acf,TueAug1701:34:10PDT2021,case_2,secondary,1.062,1.470,1.811,10.87k,23.4073,50.2351
run_5,i-047f4701a2935f9b0,MonAug1611:44:24PDT2021,case_2,secondary,1.752,4.183,16.343,10.49k,23.9189,48.8724
run_11,i-0480c4537b49fd998,MonAug1617:40:01PDT2021,case_2,secondary,1527.807,3698.687,6189.055,10.04k,23.4984,50.8149
run_24,i-04836c80a1c0a8fc3,TueAug1706:30:31PDT2021,case_2,secondary,2.115,6.639,23.407,10.55k,24.9953,50.6741
run_17,i-04970c669d8eb6f65,MonAug1623:35:38PDT2021,case_2,secondary,1.933,6.523,25.695,10.67k,24.4047,50.2173
run_7,i-04a6fecd4e1e0eeab,MonAug1613:42:56PDT2021,case_2,secondary,2.075,7.871,30.671,10.46k,23.7558,47.5422
run_7,i-04affb59b83e547d1,MonAug1613:42:56PDT2021,case_2,secondary,976.383,2678.783,5017.599,10.11k,23.3852,50.9742
run_9,i-04cf7777912ba8f67,MonAug1615:41:29PDT2021,case_2,secondary,1.569,2.847,12.839,10.76k,25.0945,49.8109
run_2,i-04e39ed444797dd4c,MonAug1608:46:35PDT2021,case_2,secondary,3.087,11.575,52.447,10.44k,23.8751,50.2715
run_23,i-04eface9cfa03ee05,TueAug1705:31:14PDT2021,case_2,secondary,1.976,5.319,19.055,10.85k,24.2302,48.5916
run_2,i-04f185bcb1b89efc2,MonAug1608:46:35PDT2021,case_2,secondary,1.920,5.047,23.311,10.49k,23.8188,48.3511
run_24,i-0517f99efb2f79d74,TueAug1706:30:31PDT2021,case_2,secondary,374.015,2191.359,4304.895,10.12k,23.5004,50.4934
run_20,i-0517fb82803a6dab1,TueAug1702:33:26PDT2021,case_2,secondary,1.381,2.349,9.567,10.85k,21.8357,47.4455
run_14,i-051bb0005ce3d0b30,MonAug1620:37:50PDT2021,case_2,secondary,4415.487,8007.679,11624.447,9.67k,21.2235,51.5652
run_12,i-054522dfb348fb3f3,MonAug1618:39:17PDT2021,case_2,secondary,2.071,8.335,32.383,10.39k,23.5616,47.6418
run_19,i-0546ffb3a214c894c,TueAug1701:34:10PDT2021,case_2,secondary,1.583,2.701,10.319,10.81k,23.5018,46.524
run_19,i-054784a691ad33b3e,TueAug1701:34:10PDT2021,case_2,secondary,1.659,3.979,16.015,10.86k,23.7729,49.5288
run_5,i-0552cef6d627582e1,MonAug1611:44:24PDT2021,case_2,secondary,2.022,5.815,31.071,10.62k,23.3961,48.5057
run_21,i-057e4835cdfeefee3,TueAug1703:32:42PDT2021,case_2,secondary,1.902,5.087,21.807,10.44k,24.2304,49.6733
run_4,i-057e843a5b095ef59,MonAug1610:45:08PDT2021,case_2,secondary,1.395,2.015,3.923,10.87k,25.1793,50.5047
run_9,i-0581650d90ab1e7e6,MonAug1615:41:29PDT2021,case_2,secondary,2.721,14.167,76.799,10.44k,24.1352,49.8191
run_8,i-05862bdafe7be6f3b,MonAug1614:42:12PDT2021,case_2,secondary,1.384,2.073,4.751,10.87k,23.085,47.4156
run_9,i-05986d43386d9c19a,MonAug1615:41:29PDT2021,case_2,secondary,1.234,1.773,2.801,10.87k,23.0099,47.8466
run_7,i-05991f17da98109b8,MonAug1613:42:56PDT2021,case_2,secondary,1691.647,3989.503,6643.711,9.99k,23.4768,50.7411
run_22,i-059b1481e6e931041,TueAug1704:31:58PDT2021,case_2,secondary,918.015,2026.495,3624.959,10.76k,23.6137,50.1291
run_2,i-05a15b7fba0a814aa,MonAug1608:46:35PDT2021,case_2,secondary,1.274,1.791,2.677,10.87k,23.0059,47.2124
run_18,i-05c964b6fe94bf26b,TueAug1700:34:54PDT2021,case_2,secondary,1.794,4.843,18.783,10.88k,23.4456,47.2914
run_3,i-05cba4be736730d4c,MonAug1609:45:51PDT2021,case_2,secondary,1.887,6.111,25.887,10.42k,23.9517,47.9193
run_8,i-05d6ece12c9776ab4,MonAug1614:42:12PDT2021,case_2,secondary,2.143,6.147,24.447,10.51k,24.1242,49.3165
run_15,i-05f3af969e63ff7c5,MonAug1621:37:06PDT2021,case_2,secondary,1.928,6.927,25.439,10.72k,23.4066,48.1897
run_6,i-05fe2bc72d328aacc,MonAug1612:43:40PDT2021,case_2,secondary,2.115,7.395,33.215,10.53k,23.4756,46.6727
run_23,i-06216cc226c3ece3e,TueAug1705:31:14PDT2021,case_2,secondary,2.497,10.047,42.335,10.47k,23.2713,47.0478
